Epoch,Base,BatchNorm,GreyWorld,GreyEdge,WhitePatch,FC4
1,2.897271395,2.973896742,2.812694311,2.885356188,2.847671986,2.844179153
2,2.627956867,2.471081257,2.651602268,2.722941875,2.774787903,2.619466305
3,2.527998447,2.323296309,2.49012208,2.676568031,2.588439465,2.536914349
4,2.479046345,2.163493633,2.460470676,2.591892004,2.530921936,2.454149961
5,2.374251127,2.02287674,2.404093504,2.522607327,2.455553532,2.392771244
6,2.362002611,1.955330372,2.340916634,2.505102634,2.441926241,2.296318054
7,2.225614071,1.852160335,2.263493061,2.474503517,2.294911385,2.222572327
8,2.159139395,1.759566903,2.213617802,2.315181494,2.25122261,2.17010498
9,2.09875226,1.730894923,2.165428162,2.329651356,2.211678028,2.157860041
10,2.088859558,1.621624708,2.110173702,2.283440828,2.20415926,2.107527494
11,1.952949405,1.584097505,2.078950405,2.214254856,2.032564878,2.033839941
12,1.987402916,1.565488696,2.032581568,2.152881145,2.035001755,1.980985522
13,1.942239404,1.478266716,1.987033606,2.114475489,1.93874836,1.965078712
14,1.83157444,1.442726374,2.008437634,2.049675465,1.950705528,1.947039127
15,1.808462024,1.445753694,1.903998733,1.973765135,1.883152843,1.861847639
16,1.841192842,1.390925765,1.840241551,1.980233431,1.859380007,1.786512852
17,1.786349177,1.278510094,1.810994744,1.863396525,1.731824279,1.787828684
18,1.742235422,1.344163895,1.74133575,1.867791533,1.715288758,1.686405301
19,1.670409083,1.252930999,1.688339233,1.784549475,1.719370365,1.70207417
20,1.742964029,1.228416204,1.591085434,1.682806253,1.64870894,1.64343679
21,1.623179197,1.153972983,1.6749928,1.705515623,1.514766216,1.560376883
22,1.577160239,1.197803617,1.514270782,1.679886103,1.480444551,1.523148656
23,1.575170517,1.087316036,1.46848762,1.569042444,1.403851271,1.549976468
24,1.476388693,1.206989288,1.547285557,1.602974534,1.419305325,1.470347404
25,1.488458991,1.048013806,1.376523495,1.518477082,1.333250999,1.427617788
26,1.417696714,1.033736587,1.382533669,1.487147927,1.367326736,1.399687409
27,1.391091704,1.083981991,1.326637506,1.46124649,1.372379065,1.367597818
28,1.344339728,0.947410464,1.420176029,1.415597081,1.318713427,1.335477471
29,1.329466462,0.977712572,1.241639495,1.424683213,1.253550529,1.353098035
30,1.331358552,0.988957644,1.283522844,1.46596992,1.198254466,1.181361914
31,1.133707881,1.012702823,1.289623976,1.324590921,1.171641111,1.242730856
32,1.359748602,1.021596313,1.237314939,1.231909513,1.218193173,1.254769325
33,1.153622627,0.823196054,1.226881981,1.409798503,1.121490121,1.209914923
34,1.184784532,0.879814327,1.168043613,1.308040977,1.144471407,1.281297565
35,1.190659165,0.891712606,1.159781218,1.266983747,1.133882284,1.116401792
36,1.110969782,0.888179481,1.084124804,1.269144297,1.072788119,1.259033442
37,1.095095038,0.863026977,1.138361216,1.224181533,1.060423613,1.072353244
38,1.183113337,0.814301014,1.113435984,1.177748084,1.019346952,1.062919855
39,1.123420715,0.834047377,1.104737997,1.193899989,1.030377388,1.182138562
40,1.023075104,0.747650027,0.975675404,1.161196589,1.031803846,1.017118812
41,0.994042099,0.767181218,0.999037862,1.123106837,1.010464191,1.089765072
42,0.971854091,0.688491523,1.007512331,1.092970252,1.024440765,1.093853235
43,0.974936962,0.787170529,0.987927496,1.08065784,0.904397249,0.981507599
44,0.973003149,0.751022756,1.022438288,1.003180146,0.90119189,0.948389649
45,0.97300756,0.628126681,0.934855938,1.046340227,0.98068893,0.959760964
46,0.892573118,0.732320011,0.970314682,1.061125398,0.992677212,1.064490199
47,0.907333493,0.665510356,0.886540055,1.03475821,0.851328254,0.824973404
48,0.912394345,0.73914367,0.970815957,1.015456915,0.896958649,0.925732613
49,0.907664478,0.722801566,0.893515825,1.060299635,0.797755599,0.896591485
50,0.895393193,0.61470145,0.901582181,0.958694458,1.032011271,0.898135483
51,0.866161823,0.676442206,0.882520616,0.932364881,0.864023924,0.80449146
52,0.853918433,0.556231916,0.828563809,0.965592325,0.810799837,0.880028069
53,0.839583158,0.632861018,0.918256521,0.902762711,0.836927414,0.869273841
54,0.85290134,0.528973997,0.789003372,0.895745695,0.85570848,0.772694945
55,0.782663226,0.663690627,0.85523665,0.895123839,0.728729606,0.764112115
56,0.747820497,0.607719302,0.891713321,0.932292819,0.805401087,0.801554263
57,0.777612031,0.625405014,0.805501163,0.878294885,0.814316809,0.781564593
58,0.767801702,0.622509181,0.786402702,0.768613994,0.689913511,0.824755967
59,0.797132432,0.574929535,0.804397464,0.877531171,0.701272845,0.694533169
60,0.755652547,0.573613942,0.694479585,0.80708015,0.827388108,0.737454653
61,0.678771675,0.551413119,0.763373613,0.872845888,0.696360946,0.737596393
62,0.691476345,0.572661042,0.843481064,0.728970468,0.724932313,0.721035838
63,0.728806853,0.473805249,0.762297392,0.876243711,0.772626817,0.796840787
64,0.747603357,0.515539765,0.750795662,0.732679188,0.628790617,0.662648082
65,0.670905769,0.555517912,0.723967493,0.734857619,0.672273099,0.68579632
66,0.645332813,0.636779785,0.687487364,0.741888523,0.730751276,0.660911858
67,0.624214351,0.435370088,0.669757009,0.754339695,0.729204714,0.679480612
68,0.702249348,0.434724152,0.680815876,0.725067079,0.57708323,0.640850842
69,0.715428889,0.552901566,0.688594639,0.783037603,0.627857864,0.634415627
70,0.655620277,0.517349839,0.667437315,0.662108183,0.545248568,0.675834
71,0.655562818,0.456742138,0.662080169,0.729070127,0.577718139,0.595193326
72,0.607400894,0.486173064,0.773884952,0.719163716,0.67367059,0.582141519
73,0.560566843,0.466257125,0.611544609,0.731069028,0.592379093,0.651245773
74,0.666458607,0.529901505,0.556391835,0.657460988,0.52274406,0.600699365
75,0.579208672,0.509706259,0.709147215,0.720932126,0.643043816,0.631908178
76,0.593470156,0.512521088,0.719560981,0.710499287,0.576874137,0.642368615
77,0.550476313,0.429765373,0.614385664,0.66594255,0.623515546,0.608688772
78,0.633672953,0.42057842,0.613072574,0.561486602,0.58298409,0.522323072
79,0.607609451,0.554911435,0.622284651,0.701262295,0.469069302,0.58860898
80,0.585891843,0.376563221,0.655413091,0.678669989,0.499419808,0.551578164
81,0.514110267,0.413272619,0.576147854,0.634628177,0.474544853,0.668661654
82,0.531015337,0.435188562,0.565321505,0.544617295,0.585687697,0.59012419
83,0.559077024,0.403325379,0.649087906,0.651320875,0.533421576,0.450172007
84,0.584436059,0.372088283,0.653641403,0.594275415,0.452581644,0.520638287
85,0.514718175,0.467314959,0.500736475,0.55779171,0.525320411,0.555901527
86,0.604663193,0.362738431,0.489697039,0.583850324,0.532609642,0.599275649
87,0.58583945,0.376460701,0.547557116,0.63264215,0.46287331,0.4171184
88,0.47247234,0.437923759,0.601249278,0.514859319,0.563390911,0.504459858
89,0.556627095,0.340723723,0.478333145,0.578194797,0.371482939,0.601402283
90,0.553153634,0.449928224,0.558347523,0.500691652,0.536152005,0.484063178
91,0.543816686,0.417361349,0.543567836,0.507170856,0.478407025,0.593379736
92,0.48446691,0.320209503,0.433905303,0.627162158,0.449815422,0.452469856
93,0.544751823,0.463247359,0.465571374,0.507094443,0.457282931,0.459647685
94,0.415319592,0.295472145,0.474847555,0.549917042,0.501933515,0.44982636
95,0.464768857,0.334701091,0.500234008,0.519445658,0.424369454,0.424645185
96,0.529803395,0.416637659,0.477569491,0.51925689,0.425869346,0.441571772
97,0.456152111,0.370994329,0.467396051,0.57445699,0.462100118,0.593690157
98,0.49774012,0.261523545,0.453804195,0.481703907,0.468577743,0.37975508
99,0.503716588,0.31125319,0.507064879,0.485945433,0.50838244,0.476884335
100,0.467238039,0.349667311,0.437070519,0.574916303,0.397184342,0.525771797
