Epoch,Base,BatchNorm,GreyWorld,GreyEdge,WhitePatch,FC4
1,0.345588237,0.302941173,0.357352942,0.357352942,0.300000012,0.308823526
2,0.774999976,0.70588237,0.791176498,0.770588219,0.744117618,0.770588219
3,0.93235296,0.870588243,0.920588255,0.90882355,0.888235271,0.89852941
4,0.951470613,0.949999988,0.957352936,0.969117641,0.948529422,0.949999988
5,0.958823502,0.944117665,0.970588207,0.952941179,0.979411781,0.969117641
6,0.995588243,0.989705861,0.969117641,0.982352912,0.960294127,0.973529398
7,0.982352912,0.972058833,0.991176486,0.975000024,0.995588243,0.988235295
8,0.995588243,0.963235319,0.988235295,0.989705861,0.97647059,0.975000024
9,0.980882347,1,0.980882347,0.975000024,0.995588243,0.997058809
10,0.985294104,0.983823538,0.989705861,0.991176486,0.985294104,0.985294104
11,0.995588243,0.997058809,0.988235295,0.992647052,0.994117618,0.970588207
12,0.982352912,0.998529434,0.998529434,1,0.982352912,0.998529434
13,1,0.973529398,0.997058809,1,0.985294104,0.97647059
14,1,1,0.998529434,0.973529398,1,1
15,1,1,0.992647052,1,0.998529434,1
16,0.985294104,1,0.977941155,0.988235295,0.973529398,1
17,1,0.985294104,0.982352912,0.998529434,0.998529434,0.992647052
18,1,1,0.998529434,1,1,0.982352912
19,0.97647059,1,1,0.994117618,0.989705861,1
20,0.997058809,0.989705861,0.992647052,1,1,1
21,1,0.982352912,1,1,1,1
22,1,0.998529434,1,1,1,1
23,0.986764729,1,1,0.979411781,1,1
24,0.991176486,1,1,1,1,1
25,0.994117618,1,1,1,1,1
26,1,1,1,1,0.995588243,1
27,1,1,1,1,1,1
28,1,1,1,1,1,1
29,1,1,1,1,1,1
30,1,1,1,1,1,1
31,1,1,1,1,1,1
32,1,1,1,1,1,1
33,0.997058809,1,1,0.997058809,1,1
34,1,1,1,0.982352912,1,1
35,1,1,1,1,1,1
36,1,1,1,1,1,0.988235295
37,1,0.991176486,1,1,1,1
38,1,1,1,1,0.986764729,0.991176486
39,1,1,1,0.991176486,1,1
40,1,0.983823538,1,0.992647052,1,1
41,1,0.994117618,1,1,0.989705861,1
42,1,1,1,1,0.995588243,1
43,1,0.983823538,1,1,1,0.997058809
44,1,1,1,1,1,0.998529434
45,1,0.975000024,1,0.989705861,1,0.995588243
46,1,0.998529434,0.998529434,1,1,1
47,1,0.994117618,1,0.998529434,1,0.998529434
48,1,1,1,0.998529434,1,0.989705861
49,1,0.982352912,1,0.998529434,1,1
50,1,1,1,1,1,1
51,1,1,1,1,1,1
52,1,0.997058809,1,1,1,1
53,1,1,1,1,1,1
54,1,1,1,1,1,0.985294104
55,1,0.991176486,1,0.992647052,1,1
56,1,0.988235295,1,1,1,0.997058809
57,1,1,1,0.994117618,1,1
58,1,1,1,0.997058809,1,1
59,1,1,1,1,1,0.997058809
60,1,1,1,1,1,0.998529434
61,1,1,1,1,1,1
62,1,0.989705861,1,1,1,1
63,1,0.998529434,1,1,1,0.997058809
64,1,0.998529434,1,1,1,0.998529434
65,1,1,1,1,1,1
66,1,1,1,1,1,1
67,1,1,1,1,1,1
68,1,1,1,1,1,1
69,1,1,1,0.994117618,1,1
70,1,1,1,1,0.994117618,1
71,1,1,1,1,0.998529434,1
72,1,1,1,1,1,1
73,1,1,1,1,1,1
74,1,1,1,1,1,1
75,1,1,0.998529434,1,1,1
76,1,1,1,1,1,1
77,1,1,1,1,1,1
78,1,1,1,1,1,1
79,1,1,1,1,0.995588243,1
80,1,1,1,1,0.995588243,1
81,1,1,0.986764729,1,1,1
82,1,1,0.992647052,1,1,1
83,1,1,1,1,1,1
84,1,1,1,1,1,1
85,1,1,1,1,1,1
86,1,1,1,1,1,1
87,1,1,1,1,1,1
88,1,1,1,1,1,1
89,1,1,1,1,1,1
90,1,1,1,0.995588243,1,1
91,1,1,1,0.995588243,0.988235295,1
92,1,1,1,1,1,1
93,1,1,1,1,1,1
94,1,1,1,1,1,1
95,1,1,1,1,1,1
96,1,1,1,1,1,1
97,1,1,1,1,1,1
98,1,1,1,1,1,1
99,1,1,0.986764729,1,1,1
100,1,1,1,1,1,1
