Epoch,Base,BatchNorm,GreyWorld,GreyEdge,WhitePatch,FC4
1,2.111592531,2.234694958,2.159507751,2.123916149,2.30867219,2.207713604
2,0.718759716,0.973825634,0.69190824,0.822990537,0.851025462,0.805920839
3,0.240551129,0.435153812,0.274368316,0.311067909,0.399920702,0.346480995
4,0.182349354,0.17068629,0.188243777,0.136035576,0.190126911,0.181453764
5,0.147031114,0.20060508,0.074082799,0.139311954,0.086655512,0.102603853
6,0.024458153,0.037962161,0.095024571,0.061865587,0.174952701,0.089068316
7,0.061631024,0.11351189,0.038026497,0.11013402,0.018629344,0.045263514
8,0.01866043,0.14163442,0.035230916,0.039542373,0.076289751,0.104308218
9,0.104865558,0.00779047,0.088701338,0.094880462,0.022866054,0.011751836
10,0.110290565,0.081257783,0.032245722,0.039594736,0.065648526,0.078572541
11,0.018834095,0.008393059,0.050117988,0.056971449,0.016678251,0.128259331
12,0.063461781,0.002787392,0.004970685,0.001123923,0.081763573,0.006893232
13,0.004086524,0.202346176,0.01851253,0.001371314,0.095695876,0.097063847
14,0.000414746,0.003662385,0.005206746,0.085789688,0.000794047,0.000640172
15,0.000225147,0.000980002,0.032389715,0.001759227,0.005151155,0.000333411
16,0.066808291,0.000479507,0.108793154,0.050888062,0.150066555,0.00222421
17,0.002039579,0.113200366,0.062988959,0.003539414,0.008123378,0.025575239
18,0.000198835,0.000649927,0.004738248,0.000547609,0.000703804,0.088261545
19,0.103086941,0.000237204,0.000829882,0.03254002,0.090439498,0.00164815
20,0.019819615,0.097474098,0.035252318,0.000316552,0.001551607,0.002050824
21,0.000502783,0.07142017,0.000884121,0.000141882,0.000260665,0.000285678
22,0.000224995,0.013998427,0.000269795,0.000175998,0.000161601,0.000107199
23,0.066483639,0.000562793,9.54598E-05,0.161826432,8.30824E-05,0.000262288
24,0.021147097,0.000208508,6.8725E-05,0.002056279,4.28033E-05,6.11724E-05
25,0.015957059,6.2153E-05,6.46787E-05,0.000441337,1.70001E-05,5.74451E-05
26,0.000616053,3.54669E-05,2.93283E-05,9.92199E-05,0.04391614,5.32888E-05
27,0.000197395,4.93942E-05,0.00012251,5.93885E-05,0.000529297,2.07361E-05
28,0.000169322,4.66363E-05,0.000180749,6.23972E-05,0.000126015,2.87549E-05
29,5.48131E-05,9.22329E-05,4.03153E-05,0.000168687,0.000140264,2.59462E-05
30,2.32825E-05,3.00595E-05,4.57047E-05,8.02599E-05,7.02583E-05,3.11354E-05
31,0.000119389,7.89008E-05,3.52613E-05,9.2491E-05,4.51678E-05,1.6258E-05
32,3.08949E-05,0.000133846,3.87346E-05,4.2246E-05,5.1561E-05,3.62508E-05
33,0.024122171,0.001976385,5.93729E-05,0.009066076,3.43032E-05,1.76199E-05
34,0.00071768,8.72787E-05,0.000117395,0.082144789,1.89079E-05,4.81711E-05
35,0.000195823,6.02117E-05,1.82077E-05,0.001418653,1.9438E-05,1.49954E-05
36,4.55584E-05,6.81479E-05,4.25963E-05,6.10246E-05,2.14845E-05,0.027188949
37,4.20382E-05,0.045298278,1.08165E-05,5.68695E-05,1.45119E-05,0.001176893
38,2.48645E-05,0.00041376,2.48692E-05,3.76646E-05,0.077362619,0.055557851
39,2.63895E-05,6.69942E-05,2.7132E-05,0.042991962,0.001273815,0.001633781
40,3.19488E-05,0.062541433,2.32921E-05,0.028712368,0.001249842,0.000338645
41,1.55347E-05,0.024227437,8.81281E-06,0.000217357,0.0472035,0.00016031
42,6.42359E-05,0.000201688,1.15408E-05,0.00021763,0.022780202,3.24493E-05
43,1.66349E-05,0.110463962,6.4992E-06,8.94967E-05,0.000771765,0.015971208
44,1.78044E-05,0.001289154,2.7662E-05,4.12476E-05,7.77395E-05,0.017401533
